i,N,engine,time(s)
0,35,ref,0
1,103,ref,0
2,183,ref,.03
3,271,ref,.11
4,364,ref,.31
5,461,ref,.72
6,562,ref,1.46
7,667,ref,2.70
8,774,ref,4.61
9,884,ref,7.46
10,996,ref,11.57
11,1110,ref,17.30
12,1227,ref,25.16
13,1345,ref,35.62
14,1465,ref,48.82
15.67106842737094837935,1587,ref,65.48
0,35,tbb,.01
1,103,tbb,.02
2,183,tbb,.08
3,271,tbb,.21
4,364,tbb,.46
5,461,tbb,.90
6,562,tbb,1.64
7,667,tbb,2.74
8,774,tbb,4.31
9,884,tbb,6.54
10,996,tbb,9.55
11,1110,tbb,13.43
12,1227,tbb,18.29
13,1345,tbb,23.99
14,1465,tbb,30.90
15,1587,tbb,38.99
16,1711,tbb,48.65
17,1836,tbb,59.97
18.00227790432801822323,1962,tbb,73.14
0,35,opencl,.21
1,103,opencl,.44
2,183,opencl,.67
3,271,opencl,.96
4,364,opencl,1.35
5,461,opencl,1.88
6,562,opencl,2.63
7,667,opencl,3.65
8,774,opencl,5.02
9,884,opencl,6.86
10,996,opencl,9.27
11,1110,opencl,12.44
12,1227,opencl,16.57
13,1345,opencl,21.82
14,1465,opencl,28.38
15,1587,opencl,36.48
16,1711,opencl,46.49
17.70254810192407696307,1836,opencl,65.72
0,35,opt,.21
1,103,opt,.44
2,183,opt,.71
3,271,opt,1.00
4,364,opt,1.39
5,461,opt,1.91
6,562,opt,2.62
7,667,opt,3.59
8,774,opt,4.95
9,884,opt,6.78
10,996,opt,9.12
11,1110,opt,12.29
12,1227,opt,16.43
13,1345,opt,21.60
14,1465,opt,28.15
15,1587,opt,36.19
16,1711,opt,46.18
17.73044397463002114164,1836,opt,65.10
