i,N,engine,time(s)
0,35,tbbif,0
1,103,tbbif,0
2,183,tbbif,.01
3,271,tbbif,.03
4,364,tbbif,.08
5,461,tbbif,.16
6,562,tbbif,.30
7,667,tbbif,.53
8,774,tbbif,.87
9,884,tbbif,1.36
10,996,tbbif,2.07
11,1110,tbbif,3.05
12,1227,tbbif,4.34
13,1345,tbbif,5.99
14,1465,tbbif,8.06
15,1587,tbbif,10.63
16,1711,tbbif,13.87
17,1836,tbbif,17.90
18,1962,tbbif,22.89
19,2090,tbbif,28.96
20,2219,tbbif,36.20
21,2350,tbbif,44.67
22,2482,tbbif,54.86
23.43120805369127516778,2614,tbbif,66.78
0,35,opt,.10
1,103,opt,.21
2,183,opt,.33
3,271,opt,.51
4,364,opt,.79
5,461,opt,1.19
6,562,opt,1.79
7,667,opt,2.60
8,774,opt,3.89
9,884,opt,5.50
10,996,opt,7.68
11,1110,opt,10.47
12,1227,opt,14.13
13,1345,opt,18.81
14,1465,opt,24.81
15,1587,opt,32.34
16,1711,opt,41.48
17,1836,opt,52.56
18.54948301329394387001,1962,opt,66.10
