i,N,engine,time(s)
0,35,ref,0
1,103,ref,0
2,183,ref,.01
3,271,ref,.11
4,364,ref,.31
5,461,ref,.70
6,562,ref,1.43
7,667,ref,2.73
8,774,ref,4.60
9,884,ref,7.35
10,996,ref,11.54
11,1110,ref,19.10
12,1227,ref,27.39
13,1345,ref,39.17
14,1465,ref,54.83
15.25734196117471378795,1587,ref,74.92
0,35,opt,.27
1,103,opt,.51
2,183,opt,.77
3,271,opt,1.21
4,364,opt,1.73
5,461,opt,2.57
6,562,opt,3.88
7,667,opt,6.05
8,774,opt,9.37
9,884,opt,14.27
10,996,opt,21.74
11,1110,opt,34.59
12,1227,opt,50.71
13.41252220248667850799,1345,opt,73.23
