i,N,engine,time(s)
0,25,ref,.01
1,45,ref,.09
2,65,ref,.19
3,85,ref,1.17
4,105,ref,3.10
5,125,ref,3.48
6,145,ref,4.86
7,165,ref,9.20
8,185,ref,12.12
9,205,ref,18.54
10,225,ref,31.90
