i,N,engine,time(s)
0,35,ref,0
1,103,ref,0
2,183,ref,.02
3,271,ref,.11
4,364,ref,.32
5,461,ref,.76
6,562,ref,1.56
7,667,ref,2.89
8,774,ref,4.96
9,884,ref,8.05
10,996,ref,12.48
11,1110,ref,18.62
12,1227,ref,26.99
13,1345,ref,38.33
14,1465,ref,52.38
15.42833052276559865092,1587,ref,70.17
0,35,tbb,0
1,103,tbb,.02
2,183,tbb,.08
3,271,tbb,.21
4,364,tbb,.46
5,461,tbb,.89
6,562,tbb,1.62
7,667,tbb,2.72
8,774,tbb,4.28
9,884,tbb,6.48
10,996,tbb,9.58
11,1110,tbb,13.39
12,1227,tbb,18.10
13,1345,tbb,23.78
14,1465,tbb,30.63
15,1587,tbb,38.75
16,1711,tbb,48.36
17,1836,tbb,59.64
18.02733485193621867881,1962,tbb,72.81
0,35,opt,.23
1,103,opt,.46
2,183,opt,.71
3,271,opt,1.04
4,364,opt,1.44
5,461,opt,1.99
6,562,opt,2.74
7,667,opt,3.74
8,774,opt,5.09
9,884,opt,6.89
10,996,opt,9.26
11,1110,opt,12.45
12,1227,opt,16.60
13,1345,opt,21.73
14,1465,opt,28.17
15,1587,opt,36.44
16,1711,opt,46.41
17.71601685985247629083,1836,opt,65.39
