i,N,engine,time(s)
0,35,ref,0
1,103,ref,0
2,183,ref,.02
3,271,ref,.10
4,364,ref,.30
5,461,ref,.69
6,562,ref,1.41
7,667,ref,2.86
8,774,ref,5.70
9,884,ref,9.71
10,996,ref,16.73
11,1110,ref,23.67
12,1227,ref,33.00
13,1345,ref,45.59
14.80773542600896860986,1465,ref,63.43
0,35,tbb,0
1,103,tbb,.01
2,183,tbb,.10
3,271,tbb,.35
4,364,tbb,.85
5,461,tbb,1.71
6,562,tbb,3.02
7,667,tbb,4.82
8,774,tbb,8.12
9,884,tbb,13.29
10,996,tbb,21.33
11,1110,tbb,29.55
12,1227,tbb,40.36
13,1345,tbb,53.51
14.41258741258741258741,1465,tbb,69.24
0,35,opt,.19
1,103,opt,.39
2,183,opt,.60
3,271,opt,.86
4,364,opt,1.17
5,461,opt,1.65
6,562,opt,2.72
7,667,opt,3.64
8,774,opt,5.14
9,884,opt,7.65
10,996,opt,11.32
11,1110,opt,17.32
12,1227,opt,25.27
13,1345,opt,35.19
14,1465,opt,47.00
15.91807909604519774011,1587,opt,61.16
