i,N,engine,time(s)
0,35,ref,0
1,103,ref,0
2,183,ref,.03
3,271,ref,.12
4,364,ref,.34
5,461,ref,.78
6,562,ref,1.58
7,667,ref,2.91
8,774,ref,4.99
9,884,ref,8.08
10,996,ref,12.51
11,1110,ref,18.62
12,1227,ref,26.95
13,1345,ref,38.34
14,1465,ref,52.39
15.42776840921866216975,1587,ref,70.18
0,35,tbb,.01
1,103,tbb,.02
2,183,tbb,.08
3,271,tbb,.21
4,364,tbb,.46
5,461,tbb,.89
6,562,tbb,1.63
7,667,tbb,2.72
8,774,tbb,4.30
9,884,tbb,6.54
10,996,tbb,9.53
11,1110,tbb,13.35
12,1227,tbb,18.09
13,1345,tbb,23.77
14,1465,tbb,30.68
15,1587,tbb,38.84
16,1711,tbb,48.33
17,1836,tbb,59.58
18.03206106870229007633,1962,tbb,72.68
0,35,opencl,2.23
1,103,opencl,4.22
2,183,opencl,6.49
3,271,opencl,8.65
4,364,opencl,11.03
5,461,opencl,13.60
6,562,opencl,16.20
7,667,opencl,19.16
8,774,opencl,22.70
9,884,opencl,26.53
10,996,opencl,30.95
11,1110,opencl,36.12
12,1227,opencl,42.12
13,1345,opencl,49.34
14,1465,opencl,57.92
15.20553359683794466403,1587,opencl,68.04
0,35,opt,
1,103,opt,
2,183,opt,
3,271,opt,
4,364,opt,
5,461,opt,
6,562,opt,
7,667,opt,
8,774,opt,
9,884,opt,
10,996,opt,
11,1110,opt,
12,1227,opt,
13,1345,opt,
14,1465,opt,
15,1587,opt,
16,1711,opt,
17,1836,opt,
18,1962,opt,
19,2090,opt,
20,2219,opt,
21,2350,opt,
22,2482,opt,
23,2614,opt,
24,2748,opt,
25,2884,opt,
26,3020,opt,
27,3157,opt,
28,3295,opt,
29,3434,opt,
30,3575,opt,
31,3716,opt,
32,3858,opt,
33,4001,opt,
34,4144,opt,
35,4289,opt,
36,4434,opt,
37,4581,opt,
38,4728,opt,
39,4875,opt,
