i,N,engine,time(s)
0,35,ref,0
1,103,ref,0
2,183,ref,.03
3,271,ref,.11
4,364,ref,.31
5,461,ref,.72
6,562,ref,1.46
7,667,ref,2.70
8,774,ref,4.62
9,884,ref,7.47
10,996,ref,11.64
11,1110,ref,17.41
12,1227,ref,25.45
13,1345,ref,36.43
14,1465,ref,49.72
15.61556886227544910179,1587,ref,66.42
0,35,tbb,0
1,103,tbb,.01
2,183,tbb,.06
3,271,tbb,.19
4,364,tbb,.44
5,461,tbb,.87
6,562,tbb,1.61
7,667,tbb,2.72
8,774,tbb,4.30
9,884,tbb,6.51
10,996,tbb,9.50
11,1110,tbb,13.28
12,1227,tbb,17.98
13,1345,tbb,23.59
14,1465,tbb,30.50
15,1587,tbb,38.58
16,1711,tbb,48.25
17,1836,tbb,59.52
18.03630862329803328290,1962,tbb,72.74
0,35,opt,.22
1,103,opt,.44
2,183,opt,.68
3,271,opt,.99
4,364,opt,1.37
5,461,opt,1.92
6,562,opt,2.71
7,667,opt,3.71
8,774,opt,5.04
9,884,opt,6.92
10,996,opt,9.32
11,1110,opt,12.59
12,1227,opt,16.72
13,1345,opt,22.04
14,1465,opt,28.63
15,1587,opt,36.69
16,1711,opt,46.73
17.68935064935064935064,1836,opt,65.98
