i,N,engine,time(s)
0,25,opt,1.04
1,45,opt,1.24
2,65,opt,1.46
3,85,opt,1.64
4,105,opt,1.83
5,125,opt,2.01
6,145,opt,2.22
7,165,opt,2.44
8,185,opt,2.67
9,205,opt,2.89
10,225,opt,3.10
11,245,opt,3.35
12,265,opt,3.58
13,285,opt,3.80
14,305,opt,4.03
15,325,opt,4.25
16,345,opt,4.53
17,365,opt,4.75
18,385,opt,4.98
19,405,opt,5.21
20,425,opt,5.48
21,445,opt,5.71
22,465,opt,5.99
23,485,opt,6.28
24,505,opt,6.56
25,525,opt,6.88
26,545,opt,7.22
27,565,opt,7.50
28,585,opt,7.79
29,605,opt,8.06
30,625,opt,8.43
31,645,opt,8.70
32,665,opt,9.09
33,685,opt,9.43
34,705,opt,9.73
35,725,opt,10.14
36,745,opt,10.50
37,765,opt,10.92
38,785,opt,11.26
39,805,opt,11.64
40,825,opt,11.99
41,845,opt,12.55
42,865,opt,12.94
43,880,opt,13.48
44,900,opt,13.79
45,920,opt,14.15
46,940,opt,14.53
47,960,opt,14.98
48,980,opt,15.31
49,1000,opt,15.82
50,1020,opt,16.16
51,1040,opt,16.74
52,1060,opt,17.15
53,1080,opt,17.78
54,1100,opt,18.25
55,1120,opt,18.68
56,1140,opt,19.10
57,1160,opt,19.67
58,1180,opt,20.05
59,1200,opt,20.69
60,1220,opt,21.41
61,1240,opt,22.11
62,1260,opt,22.71
63,1280,opt,23.36
64,1300,opt,23.97
65,1320,opt,24.59
66,1340,opt,25.29
67,1360,opt,26.37
68,1380,opt,27.02
69,1400,opt,27.79
70,1420,opt,28.35
71,1440,opt,29.11
72,1460,opt,29.72
73,1480,opt,30.71
74,1500,opt,31.28
75,1520,opt,32.85
76,1540,opt,33.57
77,1560,opt,34.64
78,1580,opt,35.44
79,1600,opt,36.37
80,1620,opt,37.22
81,1640,opt,38.48
82,1660,opt,39.47
83,1680,opt,40.27
84,1700,opt,41.18
85,1720,opt,43.01
86,1740,opt,43.95
87,1760,opt,44.96
88,1780,opt,45.76
89,1800,opt,46.80
90,1820,opt,47.84
91,1840,opt,49.23
92,1860,opt,50.51
93,1880,opt,51.73
94,1900,opt,52.88
95,1920,opt,54.45
96,1940,opt,55.55
97,1960,opt,58.14
98,1980,opt,59.63
99.18407960199004975124,2000,opt,61.64
