i,N,engine,time(s)
0,35,ref,0
1,103,ref,.01
2,183,ref,.04
3,271,ref,.12
4,364,ref,.41
5,461,ref,.81
6,562,ref,1.68
7,667,ref,3.13
8,774,ref,5.32
9,884,ref,8.54
10,996,ref,13.14
11,1110,ref,19.68
12,1227,ref,28.98
13,1345,ref,41.88
14,1465,ref,59.04
15.04397617956939990838,1587,ref,80.87
0,35,tbb,.09
1,103,tbb,.11
2,183,tbb,.19
3,271,tbb,.38
4,364,tbb,.75
5,461,tbb,1.37
6,562,tbb,2.44
7,667,tbb,3.98
8,774,tbb,6.76
9,884,tbb,10.28
10,996,tbb,15.10
11,1110,tbb,22.39
12,1227,tbb,31.55
13,1345,tbb,43.82
14,1465,tbb,59.84
15.00820933812211390456,1587,tbb,79.33
0,35,opencl,.23
1,103,opencl,.43
2,183,opencl,.66
3,271,opencl,.94
4,364,opencl,1.36
5,461,opencl,1.95
6,562,opencl,2.82
7,667,opencl,4.04
8,774,opencl,6.35
9,884,opencl,9.89
10,996,opencl,14.60
11,1110,opencl,21.94
12,1227,opencl,32.14
13,1345,opencl,44.59
14.92999396499698249849,1465,opencl,61.16
0,35,opt,.21
1,103,opt,.42
2,183,opt,.65
3,271,opt,1.06
4,364,opt,1.44
5,461,opt,2.01
6,562,opt,2.81
7,667,opt,4.17
8,774,opt,6.35
9,884,opt,9.68
10,996,opt,14.87
11,1110,opt,22.04
12,1227,opt,31.45
13,1345,opt,44.97
14.91758241758241758241,1465,opt,61.35
