i,N,engine,time(s)
0,35,ref,0
1,103,ref,.01
2,183,ref,.04
3,271,ref,.13
4,364,ref,.33
5,461,ref,.75
6,562,ref,1.50
7,667,ref,2.77
8,774,ref,4.90
9,884,ref,8.09
10,996,ref,12.53
11,1110,ref,18.72
12,1227,ref,28.10
13,1345,ref,40.45
14,1465,ref,56.31
15.17766008666345690900,1587,ref,77.08
0,35,opt,0
1,103,opt,.01
2,183,opt,.02
3,271,opt,.04
4,364,opt,.09
5,461,opt,.18
6,562,opt,.32
7,667,opt,.55
8,774,opt,.91
9,884,opt,1.41
10,996,opt,2.12
11,1110,opt,3.11
12,1227,opt,4.41
13,1345,opt,6.09
14,1465,opt,8.19
15,1587,opt,10.77
16,1711,opt,14.03
17,1836,opt,18.15
18,1962,opt,23.25
19,2090,opt,29.35
20,2219,opt,36.84
21,2350,opt,45.55
22,2482,opt,55.79
23.35407905803195962994,2614,opt,67.68
