i,N,engine,time(s)
0,35,ref,0
1,103,ref,0
2,183,ref,.03
3,271,ref,.12
4,364,ref,.34
5,461,ref,.78
6,562,ref,1.58
7,667,ref,2.91
8,774,ref,4.99
9,884,ref,8.09
10,996,ref,12.50
11,1110,ref,18.61
12,1227,ref,26.95
13,1345,ref,38.21
14,1465,ref,52.28
15.43370786516853932584,1587,ref,70.08
0,35,tbb,0
1,103,tbb,.02
2,183,tbb,.07
3,271,tbb,.20
4,364,tbb,.45
5,461,tbb,.89
6,562,tbb,1.62
7,667,tbb,2.74
8,774,tbb,4.34
9,884,tbb,6.57
10,996,tbb,9.60
11,1110,tbb,13.44
12,1227,tbb,18.22
13,1345,tbb,24.02
14,1465,tbb,31.00
15,1587,tbb,39.23
16,1711,tbb,48.90
17.96689895470383275261,1836,tbb,60.38
0,35,opencl,-1551366617.54
1,103,opencl,-3102733237.28
2,183,opencl,-4654099859.31
3,271,opencl,-4654099859.08
4,364,opencl,-6205466485.94
5,461,opencl,-7756833115.42
6,562,opencl,-9308199747.74
7,667,opencl,-10859566382.92
8,774,opencl,-12410933021.45
9,884,opencl,-13962299663.87
10,996,opencl,-15513666310.69
11,1110,opencl,-17065032962.56
12,1227,opencl,-18616399620.30
13,1345,opencl,-20167766285.16
14,1465,opencl,-20167766277.17
15,1587,opencl,-20167766267.26
16,1711,opencl,-21719132962.90
17,1836,opencl,-23270499672.80
18,1962,opencl,-24821866401.79
19,2090,opencl,-26373233153.37
20,2219,opencl,-27924599930.60
21,2350,opencl,-29475966737.21
22,2482,opencl,-31027333577.43
23,2614,opencl,-32578700456.60
24,2748,opencl,-34130067380.29
25,2884,opencl,-34130067325.13
26,3020,opencl,-35681434358.67
27,3157,opencl,-37232801456.99
28,3295,opencl,-38784168628.46
29,3434,opencl,-40335535882.16
30,3575,opencl,-41886903226.29
31,3716,opencl,-43438270674.47
32,3858,opencl,-44989638235.96
33,4001,opencl,-46541005926.29
34,4144,opencl,-48092373758.52
