i,N,engine,time(s)
0,25,ref,.01
1,45,ref,.05
2,65,ref,.15
3,85,ref,.35
4,105,ref,.68
5,125,ref,1.19
6,145,ref,1.98
7,165,ref,3.10
8,185,ref,4.58
9,205,ref,6.50
10,225,ref,8.98
11,245,ref,12.09
12,265,ref,16.24
13,285,ref,21.07
14,305,ref,27.03
15,325,ref,35.01
16,345,ref,44.07
17,365,ref,53.60
18.56838365896980461811,385,ref,64.86
0,25,opencl,.34
1,45,opencl,.54
2,65,opencl,.76
3,85,opencl,.99
4,105,opencl,1.26
5,125,opencl,1.49
6,145,opencl,1.73
7,165,opencl,1.95
8,185,opencl,2.19
9,205,opencl,2.43
10,225,opencl,2.67
11,245,opencl,2.96
12,265,opencl,3.21
13,285,opencl,3.53
14,305,opencl,3.82
15,325,opencl,4.12
16,345,opencl,4.44
17,365,opencl,4.74
18,385,opencl,5.17
19,405,opencl,5.48
20,425,opencl,5.98
21,445,opencl,6.47
22,465,opencl,7.13
23,485,opencl,7.74
24,505,opencl,8.23
25,525,opencl,8.92
26,545,opencl,9.64
27,565,opencl,10.16
28,585,opencl,10.61
29,605,opencl,11.23
30,625,opencl,11.86
31,645,opencl,12.41
32,665,opencl,13.29
33,685,opencl,14.26
34,705,opencl,15.20
35,725,opencl,16.86
36,745,opencl,17.49
37,765,opencl,18.84
38,785,opencl,19.63
39,805,opencl,20.57
40,825,opencl,21.77
41,845,opencl,24.01
42,865,opencl,25.57
43,880,opencl,26.77
44,900,opencl,27.74
45,920,opencl,29.06
46,940,opencl,30.11
47,960,opencl,31.51
48,980,opencl,32.73
49,1000,opencl,34.21
50,1020,opencl,35.66
51,1040,opencl,37.91
52,1060,opencl,39.45
53,1080,opencl,41.44
54,1100,opencl,43.18
55,1120,opencl,45.49
56,1140,opencl,47.49
57,1160,opencl,50.45
58,1180,opencl,52.48
59,1200,opencl,55.01
60,1220,opencl,57.40
61.99236641221374045801,1240,opencl,60.02
