i,N,engine,time(s)
0,35,ref,0
1,103,ref,.01
2,183,ref,.03
3,271,ref,.11
4,364,ref,.33
5,461,ref,.77
6,562,ref,1.57
7,667,ref,2.94
8,774,ref,5.13
9,884,ref,8.59
10,996,ref,13.45
11,1110,ref,21.44
12,1227,ref,33.76
13,1345,ref,50.68
14.42929525564256103178,1465,ref,72.39
0,35,opt,.29
1,103,opt,.57
2,183,opt,.88
3,271,opt,1.24
4,364,opt,1.75
5,461,opt,2.51
6,562,opt,3.62
7,667,opt,5.46
8,774,opt,8.23
9,884,opt,12.29
10,996,opt,18.16
11,1110,opt,26.57
12,1227,opt,37.68
13,1345,opt,52.21
14.40678851174934725848,1465,opt,71.36
