i,N,engine,time(s)
0,35,tbbif,0
1,103,tbbif,.01
2,183,tbbif,.02
3,271,tbbif,.04
4,364,tbbif,.09
5,461,tbbif,.17
6,562,tbbif,.31
7,667,tbbif,.54
8,774,tbbif,.89
9,884,tbbif,1.39
10,996,tbbif,2.09
11,1110,tbbif,3.06
12,1227,tbbif,4.34
13,1345,tbbif,5.97
14,1465,tbbif,8.02
15,1587,tbbif,10.68
16,1711,tbbif,13.88
17,1836,tbbif,17.89
18,1962,tbbif,22.80
19,2090,tbbif,28.79
20,2219,tbbif,35.92
21,2350,tbbif,44.37
22,2482,tbbif,54.19
23.50698080279232111692,2614,tbbif,65.65
0,35,opt,.09
1,103,opt,.20
2,183,opt,.36
3,271,opt,.55
4,364,opt,.82
5,461,opt,1.22
6,562,opt,1.82
7,667,opt,2.69
8,774,opt,3.89
9,884,opt,5.50
10,996,opt,7.69
11,1110,opt,10.45
12,1227,opt,14.18
13,1345,opt,18.83
14,1465,opt,24.91
15,1587,opt,32.51
16,1711,opt,41.55
17,1836,opt,52.43
18.55174927113702623906,1962,opt,66.15
