i,N,engine,time(s)
0,25,ref,.01
1,45,ref,.08
2,65,ref,.18
3,85,ref,1.18
4,105,ref,3.11
5,125,ref,3.49
6,145,ref,4.88
7,165,ref,9.13
8,185,ref,12.05
9,205,ref,18.30
10,225,ref,32.42
11.66779661016949152542,245,ref,73.72
0,25,tbb,.04
1,45,tbb,.27
2,65,tbb,.51
3,85,tbb,2.48
4,105,tbb,5.68
5,125,tbb,6.41
6,145,tbb,8.99
7,165,tbb,15.53
8,185,tbb,20.53
9,205,tbb,29.75
10,225,tbb,47.31
11.22935116573287547442,245,tbb,102.64
0,25,opt,.01
1,45,opt,.07
2,65,opt,.14
3,85,opt,.69
4,105,opt,1.77
5,125,opt,2.03
6,145,opt,2.82
7,165,opt,5.07
8,185,opt,6.67
9,205,opt,9.97
10,225,opt,16.90
11,245,opt,38.51
12,265,opt,45.50
13.52195824334053275737,285,opt,73.28
