i,N,engine,time(s)
0,25,ref,0
1,45,ref,.01
2,65,ref,.06
3,85,ref,.51
4,105,ref,.87
5,125,ref,1.71
6,145,ref,9.72
7,165,ref,11.16
8,185,ref,13.34
9,205,ref,17.24
10,225,ref,23.94
11,245,ref,28.49
12,265,ref,32.80
13,285,ref,50.60
14.97007223942208462332,305,ref,60.29
0,25,tbb,.01
1,45,tbb,.04
2,65,tbb,.12
3,85,tbb,.55
4,105,tbb,.93
5,125,tbb,1.66
6,145,tbb,7.23
7,165,tbb,8.40
8,185,tbb,10.07
9,205,tbb,12.64
10,225,tbb,17.10
11,245,tbb,20.21
12,265,tbb,23.16
13,285,tbb,33.53
14,305,tbb,40.35
15,325,tbb,47.10
16,345,tbb,59.42
17.06170212765957446808,365,tbb,68.82
0,25,opt,.01
1,45,opt,.02
2,65,opt,.05
3,85,opt,.18
4,105,opt,.30
5,125,opt,.53
6,145,opt,2.05
7,165,opt,2.47
8,185,opt,3.05
9,205,opt,3.96
10,225,opt,5.33
11,245,opt,6.53
12,265,opt,7.83
13,285,opt,11.05
14,305,opt,13.43
15,325,opt,16.01
16,345,opt,20.31
17,365,opt,24.16
18,385,opt,31.36
19,405,opt,37.89
20.52958083832335329341,425,opt,79.64
