i,N,engine,time(s)
0,35,ref,0
1,103,ref,.01
2,183,ref,.04
3,271,ref,.12
4,364,ref,.32
5,461,ref,.71
6,562,ref,1.45
7,667,ref,2.64
8,774,ref,4.49
9,884,ref,7.29
10,996,ref,11.40
11,1110,ref,17.15
12,1227,ref,25.20
13,1345,ref,36.98
14,1465,ref,52.32
15.37481698389458272327,1587,ref,72.81
0,35,tbb,.01
1,103,tbb,.04
2,183,tbb,.12
3,271,tbb,.31
4,364,tbb,.69
5,461,tbb,1.36
6,562,tbb,2.42
7,667,tbb,3.95
8,774,tbb,6.29
9,884,tbb,9.65
10,996,tbb,14.33
11,1110,tbb,20.72
12,1227,tbb,29.30
13,1345,tbb,40.01
14,1465,tbb,53.63
15.37536829699469652327,1587,tbb,70.60
0,35,opencl,.19
1,103,opencl,.38
2,183,opencl,.59
3,271,opencl,.86
4,364,opencl,1.24
5,461,opencl,1.79
6,562,opencl,2.65
7,667,opencl,3.84
8,774,opencl,5.78
9,884,opencl,8.75
10,996,opencl,13.20
11,1110,opencl,19.64
12,1227,opencl,28.37
13,1345,opencl,39.77
14,1465,opencl,55.13
15.26409978308026030368,1587,opencl,73.57
0,35,opt,.19
1,103,opt,.39
2,183,opt,.60
3,271,opt,.87
4,364,opt,1.24
5,461,opt,1.80
6,562,opt,2.60
7,667,opt,3.82
8,774,opt,5.77
9,884,opt,8.79
10,996,opt,13.27
11,1110,opt,19.90
12,1227,opt,28.78
13,1345,opt,41.35
14,1465,opt,55.96
15.21477937267410951621,1587,opt,74.77
