i,N,engine,time(s)
0,35,ref,0
1,103,ref,.01
2,183,ref,.04
3,271,ref,.13
4,364,ref,.34
5,461,ref,.78
6,562,ref,1.58
7,667,ref,2.91
8,774,ref,4.98
9,884,ref,8.07
10,996,ref,12.49
11,1110,ref,18.61
12,1227,ref,26.96
13,1345,ref,38.24
14,1465,ref,52.25
15.43588301462317210348,1587,ref,70.03
0,35,tbb,0
1,103,tbb,.01
2,183,tbb,.06
3,271,tbb,.20
4,364,tbb,.45
5,461,tbb,.88
6,562,tbb,1.61
7,667,tbb,2.71
8,774,tbb,4.27
9,884,tbb,6.48
10,996,tbb,9.46
11,1110,tbb,13.29
12,1227,tbb,17.99
13,1345,tbb,23.69
14,1465,tbb,30.56
15,1587,tbb,38.61
16,1711,tbb,48.08
17,1836,tbb,59.40
18.04608294930875576036,1962,tbb,72.42
0,35,opt,.22
1,103,opt,.46
2,183,opt,.75
3,271,opt,1.04
4,364,opt,1.40
5,461,opt,1.93
6,562,opt,2.64
7,667,opt,3.67
8,774,opt,5.05
9,884,opt,6.79
10,996,opt,9.16
11,1110,opt,12.31
12,1227,opt,16.39
13,1345,opt,21.73
14,1465,opt,28.41
15,1587,opt,36.41
16,1711,opt,46.46
17.70228215767634854771,1836,opt,65.74
