i,N,engine,time(s)
0,35,ref,0
1,103,ref,.01
2,183,ref,.04
3,271,ref,.13
4,364,ref,.33
5,461,ref,.96
6,562,ref,2.10
7,667,ref,3.79
8,774,ref,6.30
9,884,ref,9.87
10,996,ref,16.49
11,1110,ref,25.48
12,1227,ref,38.12
13,1345,ref,55.26
14.20789473684210526315,1465,ref,78.06
0,35,opt,.28
1,103,opt,.57
2,183,opt,.89
3,271,opt,1.29
4,364,opt,1.83
5,461,opt,2.66
6,562,opt,3.89
7,667,opt,5.79
8,774,opt,8.77
9,884,opt,13.31
10,996,opt,19.82
11,1110,opt,28.96
12,1227,opt,41.42
13,1345,opt,57.50
14.12106537530266343825,1465,opt,78.15
