i,N,engine,time(s)
0,35,ref,0
1,103,ref,.01
2,183,ref,.04
3,271,ref,.13
4,364,ref,.32
5,461,ref,.71
6,562,ref,1.52
7,667,ref,2.74
8,774,ref,5.01
9,884,ref,8.16
10,996,ref,12.42
11,1110,ref,18.54
12,1227,ref,26.87
13,1345,ref,40.31
14,1465,ref,55.57
15.22216649949849548645,1587,ref,75.51
0,35,tbb,0
1,103,tbb,.02
2,183,tbb,.11
3,271,tbb,.33
4,364,tbb,.72
5,461,tbb,1.38
6,562,tbb,2.42
7,667,tbb,3.97
8,774,tbb,6.32
9,884,tbb,9.67
10,996,tbb,14.41
11,1110,tbb,20.88
12,1227,tbb,29.25
13,1345,tbb,40.17
14,1465,tbb,54.29
15.31775180856983861992,1587,tbb,72.26
0,35,opencl,.19
1,103,opencl,.39
2,183,opencl,.60
3,271,opencl,.87
4,364,opencl,1.24
5,461,opencl,1.81
6,562,opencl,2.65
7,667,opencl,4.00
8,774,opencl,5.96
9,884,opencl,9.18
10,996,opencl,14.04
11,1110,opencl,20.45
12,1227,opencl,30.24
13,1345,opencl,41.71
14,1465,opencl,56.59
15.17723492723492723492,1587,opencl,75.83
