i,N,engine,time(s)
0,275,ref,0
1,2075,ref,0
2,5675,ref,.01
3,11075,ref,.02
4,18275,ref,.03
5,27275,ref,.05
6,38075,ref,.08
7,50675,ref,.15
8,65075,ref,.22
9,81275,ref,.39
10,99275,ref,.49
11,119075,ref,.63
12,140675,ref,.96
13,164075,ref,1.36
14,189275,ref,1.68
15,216275,ref,1.98
16,245075,ref,2.32
17,275675,ref,3.01
18,308075,ref,3.79
19,342275,ref,4.40
20,378275,ref,5.44
21,416075,ref,6.44
22,455675,ref,7.62
23,497075,ref,9.08
24,540275,ref,10.66
25,585275,ref,12.30
26,632075,ref,14.25
27,680675,ref,16.26
28,731075,ref,18.71
29,783275,ref,21.34
30,837275,ref,24.20
31,893075,ref,26.82
32,950675,ref,30.30
33,1010075,ref,33.45
34,1071275,ref,36.97
35,1134275,ref,41.72
36,1199075,ref,45.46
37,1265675,ref,49.88
38,1334075,ref,54.70
39,1404275,ref,59.23
40.11993769470404984423,1476275,ref,65.65
0,275,opt,0
1,2075,opt,0
2,5675,opt,0
3,11075,opt,0
4,18275,opt,.01
5,27275,opt,.02
6,38075,opt,.04
7,50675,opt,.06
8,65075,opt,.09
9,81275,opt,.18
10,99275,opt,.31
11,119075,opt,.38
12,140675,opt,.46
13,164075,opt,.69
14,189275,opt,.82
15,216275,opt,.97
16,245075,opt,1.32
17,275675,opt,1.56
18,308075,opt,2.02
19,342275,opt,2.37
20,378275,opt,2.93
21,416075,opt,3.50
22,455675,opt,4.20
23,497075,opt,4.96
24,540275,opt,5.83
25,585275,opt,6.78
26,632075,opt,7.89
27,680675,opt,9.16
28,731075,opt,10.45
29,783275,opt,11.83
30,837275,opt,13.43
31,893075,opt,15.28
32,950675,opt,17.31
33,1010075,opt,18.97
34,1071275,opt,20.95
35,1134275,opt,23.70
36,1199075,opt,25.90
37,1265675,opt,29.28
38,1334075,opt,31.63
39,1404275,opt,34.19
40,1476275,opt,37.69
41,1550075,opt,42.10
42,1625675,opt,45.93
43,1703075,opt,49.09
44,1782275,opt,53.97
45,1863275,opt,58.92
46.28496042216358839050,1946075,opt,62.71
