i,N,engine,time(s)
0,35,ref,0
1,103,ref,.01
2,183,ref,.03
3,271,ref,.12
4,364,ref,.33
5,461,ref,.75
6,562,ref,1.52
7,667,ref,2.94
8,774,ref,5.08
9,884,ref,8.24
10,996,ref,13.02
11,1110,ref,19.64
12,1227,ref,28.91
13,1345,ref,41.55
14.96093750000000000000,1465,ref,60.75
0,35,tbb,0
1,103,tbb,.03
2,183,tbb,.13
3,271,tbb,.38
4,364,tbb,.88
5,461,tbb,1.76
6,562,tbb,3.11
7,667,tbb,5.10
8,774,tbb,8.13
9,884,tbb,12.66
10,996,tbb,18.77
11,1110,tbb,27.92
12,1227,tbb,39.19
13,1345,tbb,53.63
14.34413830361966504592,1465,tbb,72.14
0,35,opt,.26
1,103,opt,.54
2,183,opt,.83
3,271,opt,1.22
4,364,opt,1.72
5,461,opt,2.50
6,562,opt,3.66
7,667,opt,5.33
8,774,opt,8.11
9,884,opt,12.34
10,996,opt,18.31
11,1110,opt,26.83
12,1227,opt,38.54
13,1345,opt,53.53
14.31591796875000000000,1465,opt,74.01
