i,N,engine,time(s)
0,450,ref,0
1,2550,ref,0
2,6450,ref,0
3,12150,ref,.01
4,19650,ref,.02
5,28950,ref,.04
6,40050,ref,.07
7,52950,ref,.11
8,67650,ref,.17
9,84150,ref,.35
10,102450,ref,.58
11,122550,ref,.72
12,144450,ref,.88
13,168150,ref,1.29
14,193650,ref,1.55
15,220950,ref,1.84
16,250050,ref,2.46
17,280950,ref,2.87
18,313650,ref,3.65
19,348150,ref,4.40
20,384450,ref,5.46
21,422550,ref,6.45
22,462450,ref,7.74
23,504150,ref,9.15
24,547650,ref,10.78
25,592950,ref,12.66
26,640050,ref,14.57
27,688950,ref,16.52
28,739650,ref,18.74
29,792150,ref,21.36
30,846450,ref,24.01
31,902550,ref,26.66
32,960450,ref,30.36
33,1020150,ref,33.70
34,1081650,ref,37.40
35,1144950,ref,41.19
36,1210050,ref,45.32
37,1276950,ref,49.37
38,1345650,ref,54.13
39,1416150,ref,58.35
40.31976744186046511627,1488450,ref,63.51
0,450,opt,0
1,2550,opt,0
2,6450,opt,.01
3,12150,opt,.02
4,19650,opt,.02
5,28950,opt,.03
6,40050,opt,.05
7,52950,opt,.08
8,67650,opt,.12
9,84150,opt,.21
10,102450,opt,.27
11,122550,opt,.35
12,144450,opt,.54
13,168150,opt,.73
14,193650,opt,.85
15,220950,opt,1.17
16,250050,opt,1.38
17,280950,opt,1.68
18,313650,opt,2.14
19,348150,opt,2.52
20,384450,opt,3.13
21,422550,opt,3.75
22,462450,opt,4.37
23,504150,opt,5.14
24,547650,opt,5.97
25,592950,opt,6.93
26,640050,opt,7.96
27,688950,opt,9.20
28,739650,opt,10.57
29,792150,opt,12.03
30,846450,opt,13.62
31,902550,opt,15.41
32,960450,opt,17.01
33,1020150,opt,18.78
34,1081650,opt,21.49
35,1144950,opt,23.58
36,1210050,opt,25.88
37,1276950,opt,28.47
38,1345650,opt,31.84
39,1416150,opt,34.34
40,1488450,opt,36.99
41,1562550,opt,41.05
42,1638450,opt,45.20
43,1716150,opt,48.26
44,1795650,opt,52.92
45,1876950,opt,57.48
46.65796344647519582245,1960050,opt,61.31
