i,N,engine,time(s)
0,25,ref,.03
1,45,ref,.11
2,65,ref,.30
3,85,ref,.66
4,105,ref,1.27
5,125,ref,2.22
6,145,ref,3.62
7,165,ref,5.59
8,185,ref,8.26
9,205,ref,11.79
10,225,ref,16.35
11,245,ref,22.12
12,265,ref,29.31
13,285,ref,38.11
14,305,ref,48.77
15.88078431372549019607,325,ref,61.52
0,25,opencl,1.15
1,45,opencl,1.34
2,65,opencl,1.52
3,85,opencl,1.73
4,105,opencl,1.94
5,125,opencl,2.14
6,145,opencl,2.33
7,165,opencl,2.55
8,185,opencl,2.76
9,205,opencl,2.97
10,225,opencl,3.19
11,245,opencl,3.40
12,265,opencl,3.60
13,285,opencl,3.78
14,305,opencl,4.00
15,325,opencl,4.19
16,345,opencl,4.40
17,365,opencl,4.65
18,385,opencl,4.91
19,405,opencl,5.15
20,425,opencl,5.42
21,445,opencl,5.67
22,465,opencl,5.96
23,485,opencl,6.22
24,505,opencl,6.49
25,525,opencl,6.79
26,545,opencl,7.16
27,565,opencl,7.47
28,585,opencl,7.81
29,605,opencl,8.09
30,625,opencl,8.47
31,645,opencl,8.74
32,665,opencl,9.23
33,685,opencl,9.60
34,705,opencl,9.93
35,725,opencl,10.45
36,745,opencl,10.85
37,765,opencl,11.34
38,785,opencl,11.76
39,805,opencl,12.23
40,825,opencl,12.67
41,845,opencl,13.32
42,865,opencl,13.76
43,880,opencl,14.28
44,900,opencl,14.69
45,920,opencl,15.23
46,940,opencl,15.64
47,960,opencl,16.23
48,980,opencl,16.71
49,1000,opencl,17.29
50,1020,opencl,17.72
51,1040,opencl,18.41
52,1060,opencl,18.98
53,1080,opencl,19.65
54,1100,opencl,20.14
55,1120,opencl,20.80
56,1140,opencl,21.42
57,1160,opencl,22.06
58,1180,opencl,22.69
59,1200,opencl,23.43
60,1220,opencl,24.17
61,1240,opencl,25.13
62,1260,opencl,25.86
63,1280,opencl,26.81
64,1300,opencl,27.69
65,1320,opencl,28.85
66,1340,opencl,29.68
67,1360,opencl,30.93
68,1380,opencl,31.83
69,1400,opencl,32.95
70,1420,opencl,34.01
71,1440,opencl,35.30
72,1460,opencl,36.44
73,1480,opencl,37.93
74,1500,opencl,39.17
75,1520,opencl,40.67
76,1540,opencl,41.77
77,1560,opencl,43.04
78,1580,opencl,44.34
79,1600,opencl,45.97
80,1620,opencl,47.14
81,1640,opencl,49.18
82,1660,opencl,50.55
83,1680,opencl,52.25
84,1700,opencl,53.82
85,1720,opencl,55.63
86,1740,opencl,57.09
87,1760,opencl,59.04
88.65753424657534246575,1780,opencl,60.50
0,25,opt,.21
1,45,opt,.42
2,65,opt,.60
3,85,opt,.79
4,105,opt,.98
5,125,opt,1.17
6,145,opt,1.36
7,165,opt,1.54
8,185,opt,1.74
9,205,opt,1.97
10,225,opt,2.16
11,245,opt,2.41
12,265,opt,2.62
13,285,opt,2.84
14,305,opt,3.06
15,325,opt,3.26
16,345,opt,3.49
17,365,opt,3.70
18,385,opt,3.91
19,405,opt,4.10
20,425,opt,4.36
21,445,opt,4.58
22,465,opt,4.85
23,485,opt,5.14
24,505,opt,5.40
25,525,opt,5.70
26,545,opt,6.03
27,565,opt,6.37
28,585,opt,6.70
29,605,opt,6.99
30,625,opt,7.34
31,645,opt,7.63
32,665,opt,8.08
33,685,opt,8.44
34,705,opt,8.74
35,725,opt,9.29
36,745,opt,9.65
37,765,opt,10.17
38,785,opt,10.63
39,805,opt,11.12
40,825,opt,11.58
41,845,opt,12.21
42,865,opt,12.67
43,880,opt,13.25
44,900,opt,13.62
45,920,opt,14.17
46,940,opt,14.59
47,960,opt,15.22
48,980,opt,15.75
49,1000,opt,16.28
50,1020,opt,16.73
51,1040,opt,17.38
52,1060,opt,17.91
53,1080,opt,18.64
54,1100,opt,19.17
55,1120,opt,19.85
56,1140,opt,20.48
57,1160,opt,21.13
58,1180,opt,21.74
59,1200,opt,22.43
60,1220,opt,23.21
61,1240,opt,24.08
62,1260,opt,24.84
63,1280,opt,25.83
64,1300,opt,26.67
65,1320,opt,27.77
66,1340,opt,28.55
67,1360,opt,29.77
68,1380,opt,30.75
69,1400,opt,31.86
70,1420,opt,32.93
71,1440,opt,34.26
72,1460,opt,35.47
73,1480,opt,37.02
74,1500,opt,38.17
75,1520,opt,39.77
76,1540,opt,40.82
77,1560,opt,42.22
78,1580,opt,43.55
79,1600,opt,45.27
80,1620,opt,46.35
81,1640,opt,48.36
82,1660,opt,49.70
83,1680,opt,51.34
84,1700,opt,52.94
85,1720,opt,54.82
86,1740,opt,56.29
87,1760,opt,58.30
88,1780,opt,59.70
89.15000000000000000000,1800,opt,61.70
