i,N,engine,time(s)
0,35,ref,0
1,103,ref,0
2,183,ref,.03
3,271,ref,.12
4,364,ref,.33
5,461,ref,.77
6,562,ref,1.57
7,667,ref,2.90
8,774,ref,4.98
9,884,ref,8.08
10,996,ref,12.51
11,1110,ref,18.63
12,1227,ref,26.97
13,1345,ref,38.11
14,1465,ref,52.16
15.44119302194710185706,1587,ref,69.93
0,35,tbb,.01
1,103,tbb,.02
2,183,tbb,.08
3,271,tbb,.22
4,364,tbb,.47
5,461,tbb,.90
6,562,tbb,1.64
7,667,tbb,2.74
8,774,tbb,4.33
9,884,tbb,6.54
10,996,tbb,9.55
11,1110,tbb,13.37
12,1227,tbb,18.09
13,1345,tbb,23.75
14,1465,tbb,30.61
15,1587,tbb,38.72
16,1711,tbb,48.37
17,1836,tbb,59.71
18.02212051868802440884,1962,tbb,72.82
0,35,opencl,-1551398014.75
1,103,opencl,-3102796031.97
2,183,opencl,-4654194051.64
3,271,opencl,-6205592073.74
4,364,opencl,-7756990098.28
5,461,opencl,-9308388125.21
6,562,opencl,-10859786154.59
7,667,opencl,-12411184186.17
8,774,opencl,-13962582220.12
9,884,opencl,-15513980256.56
10,996,opencl,-17065378295.35
11,1110,opencl,-18616776336.62
12,1227,opencl,-20168174380.21
13,1345,opencl,-21719572426.11
14,1465,opencl,-23270970474.48
15,1587,opencl,-24822368525.28
16,1711,opencl,-26373766578.54
17,1836,opencl,-27925164634.28
18,1962,opencl,-29476562692.43
19,2090,opencl,-31027960753.04
20,2219,opencl,-32579358816.14
21,2350,opencl,-34130756881.76
22,2482,opencl,-35682154949.87
23,2614,opencl,-37233553020.49
24,2748,opencl,-38784951093.64
25,2884,opencl,-40336349169.03
26,3020,opencl,-41887747246.93
27,3157,opencl,-43439145327.41
28,3295,opencl,-44990543410.34
29,3434,opencl,-46541941495.60
30,3575,opencl,-48093339583.41
31,3716,opencl,-49644737673.76
32,3858,opencl,-51196135766.69
33,4001,opencl,-52747533862.17
34,4144,opencl,-54298931960.22
35,4289,opencl,-55850330060.84
36,4434,opencl,-57401728164.09
37,4581,opencl,-58953126269.89
38,4728,opencl,-60504524378.30
39,4875,opencl,-62055922489.33
40,35,opt,-62055922489.11
41,103,opt,-62055922488.87
42,183,opt,-62055922488.58
43,271,opt,-62055922488.27
44,364,opt,-62055922487.88
45,461,opt,-62055922487.35
46,562,opt,-62055922486.62
47,667,opt,-62055922485.67
48,774,opt,-62055922484.34
49,884,opt,-62055922482.51
50,996,opt,-62055922480.10
51,1110,opt,-62055922476.97
52,1227,opt,-62055922472.89
