i,N,engine,time(s)
0,450,ref,0
1,4950,ref,0
2,14450,ref,.01
3,28950,ref,.03
4,48450,ref,.08
5,72950,ref,.15
6,102450,ref,.26
7,136950,ref,.41
8,176450,ref,.63
9,220950,ref,.91
10,270450,ref,1.28
11,324950,ref,1.77
12,384450,ref,2.39
13,448950,ref,3.23
14,518450,ref,4.28
15,592950,ref,5.61
16,672450,ref,7.13
17,756950,ref,8.81
18,846450,ref,10.77
19,940950,ref,13.06
20,1040450,ref,15.50
21,1144950,ref,18.30
22,1254450,ref,21.40
23,1368950,ref,24.80
24,1488450,ref,28.75
25,1612950,ref,33.01
26,1742450,ref,37.62
27,1876950,ref,42.38
28,2016450,ref,47.96
29,2160950,ref,53.91
30.95305164319248826291,2310450,ref,60.30
