i,N,engine,time(s)
0,35,ref,0
1,103,ref,0
2,183,ref,.03
3,271,ref,.12
4,364,ref,.32
5,461,ref,.73
6,562,ref,1.48
7,667,ref,2.75
8,774,ref,4.70
9,884,ref,7.69
10,996,ref,12.16
11,1110,ref,18.62
12,1227,ref,27.28
13,1345,ref,39.39
14,1465,ref,55.65
15.20460959548447789275,1587,ref,76.91
0,35,tbbif,0
1,103,tbbif,0
2,183,tbbif,.01
3,271,tbbif,.03
4,364,tbbif,.08
5,461,tbbif,.17
6,562,tbbif,.32
7,667,tbbif,.55
8,774,tbbif,.90
9,884,tbbif,1.40
10,996,tbbif,2.11
11,1110,tbbif,3.07
12,1227,tbbif,4.35
13,1345,tbbif,5.99
14,1465,tbbif,8.05
15,1587,tbbif,10.70
16,1711,tbbif,13.97
17,1836,tbbif,18.00
18,1962,tbbif,23.02
19,2090,tbbif,29.11
20,2219,tbbif,36.37
21,2350,tbbif,45.05
22,2482,tbbif,55.13
23.40787269681742043551,2614,tbbif,67.07
