i,N,engine,time(s)
0,25,ref,0
1,45,ref,.02
2,65,ref,.07
3,85,ref,.50
4,105,ref,.84
5,125,ref,1.64
6,145,ref,9.08
7,165,ref,10.44
8,185,ref,12.50
9,205,ref,16.19
10,225,ref,22.50
11,245,ref,26.81
12,265,ref,30.92
13,285,ref,47.65
14,305,ref,56.84
15.34917127071823204419,325,ref,65.89
0,25,tbb,.01
1,45,tbb,.04
2,65,tbb,.12
3,85,tbb,.52
4,105,tbb,.87
5,125,tbb,1.54
6,145,tbb,7.54
7,165,tbb,8.81
8,185,tbb,10.51
9,205,tbb,13.27
10,225,tbb,17.45
11,245,tbb,20.40
12,265,tbb,23.62
13,285,tbb,34.62
14,305,tbb,41.25
15,325,tbb,47.90
16,345,tbb,59.95
17.00564334085778781038,365,tbb,68.81
0,25,opt,.01
1,45,opt,.02
2,65,opt,.05
3,85,opt,.17
4,105,opt,.29
5,125,opt,.51
6,145,opt,2.09
7,165,opt,2.50
8,185,opt,3.07
9,205,opt,3.97
10,225,opt,5.31
11,245,opt,6.52
12,265,opt,7.81
13,285,opt,11.01
14,305,opt,13.30
15,325,opt,15.81
16,345,opt,20.13
17,365,opt,23.97
18,385,opt,31.22
19,405,opt,37.58
20.54377880184331797235,425,opt,78.81
