i,N,engine,time(s)
0,35,ref,0
1,103,ref,0
2,183,ref,.03
3,271,ref,.12
4,364,ref,.34
5,461,ref,.90
6,562,ref,1.70
7,667,ref,3.76
8,774,ref,5.84
9,884,ref,9.29
10,996,ref,14.87
11,1110,ref,22.76
12,1227,ref,32.51
13,1345,ref,45.75
14.79166666666666666666,1465,ref,63.75
0,35,opt,.67
1,103,opt,.81
2,183,opt,.98
3,271,opt,1.18
4,364,opt,1.48
5,461,opt,1.97
6,562,opt,2.63
7,667,opt,3.55
8,774,opt,4.84
9,884,opt,6.65
10,996,opt,9.04
11,1110,opt,12.35
12,1227,opt,16.38
13,1345,opt,21.79
14,1465,opt,28.43
15,1587,opt,36.85
16,1711,opt,47.24
17,1836,opt,59.68
18.02059202059202059202,1962,opt,75.22
