i,N,engine,time(s)
0,35,tbb,.01
1,103,tbb,.03
2,183,tbb,.09
3,271,tbb,.22
4,364,tbb,.48
5,461,tbb,.92
6,562,tbb,1.67
7,667,tbb,2.76
8,774,tbb,4.35
9,884,tbb,6.66
10,996,tbb,9.65
11,1110,tbb,13.74
12,1227,tbb,18.47
13,1345,tbb,24.39
14,1465,tbb,31.70
15,1587,tbb,40.22
16,1711,tbb,50.20
17.83121289228159457167,1836,tbb,61.99
0,35,opt,.12
1,103,opt,.24
2,183,opt,.39
3,271,opt,.60
4,364,opt,.91
5,461,opt,1.38
6,562,opt,2.04
7,667,opt,2.94
8,774,opt,4.25
9,884,opt,5.91
10,996,opt,8.26
11,1110,opt,11.47
12,1227,opt,15.63
13,1345,opt,20.90
14,1465,opt,27.90
15,1587,opt,36.35
16,1711,opt,46.70
17,1836,opt,59.45
18.03576072821846553966,1962,opt,74.83
