i,N,engine,time(s)
0,275,ref,0
1,2075,ref,0
2,5675,ref,0
3,11075,ref,.01
4,18275,ref,.02
5,27275,ref,.04
6,38075,ref,.07
7,50675,ref,.12
8,65075,ref,.18
9,81275,ref,.34
10,99275,ref,.56
11,119075,ref,.70
12,140675,ref,.87
13,164075,ref,1.26
14,189275,ref,1.51
15,216275,ref,2.04
16,245075,ref,2.55
17,275675,ref,2.95
18,308075,ref,3.71
19,342275,ref,4.32
20,378275,ref,5.30
21,416075,ref,6.47
22,455675,ref,7.67
23,497075,ref,9.11
24,540275,ref,10.79
25,585275,ref,12.56
26,632075,ref,14.35
27,680675,ref,16.30
28,731075,ref,18.37
29,783275,ref,20.67
30,837275,ref,23.24
31,893075,ref,26.40
32,950675,ref,29.72
33,1010075,ref,32.81
34,1071275,ref,
35,1134275,ref,
36,1199075,ref,
37,1265675,ref,
38,1334075,ref,
39,1404275,ref,
40,1476275,ref,
41,1550075,ref,
42,1625675,ref,
43,1703075,ref,
44,1782275,ref,
45,1863275,ref,
46,1946075,ref,
47,2030675,ref,
48,2117075,ref,
49,2205275,ref,
50,2295275,ref,
51,2387075,ref,
52,2480675,ref,
53,2576075,ref,
54,2673275,ref,
55,2772275,ref,
56,2873075,ref,
57,2975675,ref,
58,3080075,ref,
59,3186275,ref,
60,3294275,ref,
61,3404075,ref,
62,3515675,ref,
63,3629075,ref,
64,3744275,ref,
65,861275,ref,
66,3980075,ref,
67,4100675,ref,
68,4223075,ref,
69,4347275,ref,
70,4473275,ref,
71,4601075,ref,
72,4730675,ref,
73,4862075,ref,
74,4995275,ref,
75,5130275,ref,
76,5267075,ref,
77,5405675,ref,
78,5546075,ref,
79,5688275,ref,
80,5832275,ref,
81,5978075,ref,
82,6125675,ref,
83,6275075,ref,
84,6426275,ref,
85,6579275,ref,
86,6734075,ref,
87,6890675,ref,
88,7049075,ref,
89,7209275,ref,
90,7371275,ref,
91,7535075,ref,
92,7700675,ref,
93,275,opt,
94,2075,opt,
95,5675,opt,
96,11075,opt,
97,18275,opt,
98,27275,opt,
99,38075,opt,
100,50675,opt,
101,65075,opt,
102,81275,opt,
103,99275,opt,
104,119075,opt,
105,140675,opt,
106,164075,opt,
107,189275,opt,
108,216275,opt,
109,245075,opt,
110,275675,opt,
111,308075,opt,
112,342275,opt,
113,378275,opt,
114,416075,opt,
115,455675,opt,
116,497075,opt,
117,540275,opt,
118,585275,opt,
119,632075,opt,
120,680675,opt,
121,731075,opt,
122,783275,opt,
123,837275,opt,
124,893075,opt,
125,950675,opt,
126,1010075,opt,
127,1071275,opt,
128,1134275,opt,
129,1199075,opt,
130,1265675,opt,
131,1334075,opt,
132,1404275,opt,
133,1476275,opt,
134,1550075,opt,
135,1625675,opt,
136,1703075,opt,
137,1782275,opt,
138,1863275,opt,
139,1946075,opt,
140,2030675,opt,
141,2117075,opt,
142,2205275,opt,
143,2295275,opt,
144,2387075,opt,
145,2480675,opt,
146,2576075,opt,
147,2673275,opt,
148,2772275,opt,
149,2873075,opt,
150,2975675,opt,
151,3080075,opt,
152,3186275,opt,
153,3294275,opt,
154,3404075,opt,
155,3515675,opt,
156,3629075,opt,
157,3744275,opt,
158,861275,opt,
159,3980075,opt,
160,4100675,opt,
161,4223075,opt,
162,4347275,opt,
163,4473275,opt,
164,4601075,opt,
165,4730675,opt,
166,4862075,opt,
167,4995275,opt,
168,5130275,opt,
169,5267075,opt,
170,5405675,opt,
171,5546075,opt,
172,5688275,opt,
173,5832275,opt,
174,5978075,opt,
175,6125675,opt,
176,6275075,opt,
177,6426275,opt,
178,6579275,opt,
179,6734075,opt,
180,6890675,opt,
181,7049075,opt,
182,7209275,opt,
183,7371275,opt,
184,7535075,opt,
185,7700675,opt,
