i,N,engine,time(s)
0,35,ref,0
1,103,ref,0
2,183,ref,.02
3,271,ref,.10
4,364,ref,.29
5,461,ref,.68
6,562,ref,1.38
7,667,ref,2.56
8,774,ref,4.46
9,884,ref,7.28
10,996,ref,11.41
11,1110,ref,17.27
12,1227,ref,25.17
13,1345,ref,36.71
14,1465,ref,59.29
15.02974444909928780896,1587,ref,83.16
0,35,tbb,0
1,103,tbb,.02
2,183,tbb,.10
3,271,tbb,.35
4,364,tbb,.91
5,461,tbb,1.91
6,562,tbb,3.57
7,667,tbb,5.91
8,774,tbb,9.62
9,884,tbb,14.66
10,996,tbb,22.00
11,1110,tbb,29.81
12,1227,tbb,44.40
13.90487238979118329466,1345,tbb,61.64
0,35,opt,.30
1,103,opt,.58
2,183,opt,.88
3,271,opt,1.24
4,364,opt,1.71
5,461,opt,2.40
6,562,opt,3.38
7,667,opt,4.79
8,774,opt,6.99
9,884,opt,10.29
10,996,opt,15.04
11,1110,opt,21.75
12,1227,opt,30.39
13,1345,opt,42.15
14,1465,opt,57.41
15.13783927621075039914,1587,opt,76.20
