i,N,engine,time(s)
0,25,ref,.02
1,45,ref,.06
2,65,ref,.15
3,85,ref,.34
4,105,ref,.68
5,125,ref,1.18
6,145,ref,1.93
7,165,ref,2.97
8,185,ref,4.39
9,205,ref,6.29
10,225,ref,8.75
11,245,ref,11.81
12,265,ref,15.63
13,285,ref,20.33
14,305,ref,26.00
15,325,ref,32.88
16,345,ref,40.90
17,365,ref,50.23
18.89142335766423357664,385,ref,61.19
0,25,opencl,.53
1,45,opencl,1.05
2,65,opencl,1.56
3,85,opencl,2.08
4,105,opencl,2.59
5,125,opencl,3.14
6,145,opencl,3.67
7,165,opencl,4.22
8,185,opencl,4.77
9,205,opencl,5.30
10,225,opencl,5.85
11,245,opencl,6.42
12,265,opencl,6.99
13,285,opencl,7.61
14,305,opencl,8.19
15,325,opencl,8.80
16,345,opencl,9.43
17,365,opencl,10.04
18,385,opencl,10.70
19,405,opencl,11.32
20,425,opencl,12.12
21,445,opencl,12.84
22,465,opencl,13.78
23,485,opencl,14.65
24,505,opencl,15.40
25,525,opencl,16.36
26,545,opencl,17.38
27,565,opencl,18.25
28,585,opencl,19.01
29,605,opencl,19.88
30,625,opencl,20.86
31,645,opencl,21.72
32,665,opencl,22.92
33,685,opencl,24.15
34,705,opencl,25.28
35,725,opencl,27.23
36,745,opencl,28.16
37,765,opencl,29.85
38,785,opencl,30.98
39,805,opencl,32.23
40,825,opencl,33.78
41,845,opencl,36.13
42,865,opencl,37.90
43,880,opencl,39.70
44,900,opencl,40.97
45,920,opencl,42.79
46,940,opencl,44.18
47,960,opencl,45.91
48,980,opencl,47.51
49,1000,opencl,49.31
50,1020,opencl,51.03
51,1040,opencl,53.53
52,1060,opencl,55.36
53,1080,opencl,57.45
54,1100,opencl,59.37
55.23863636363636363636,1120,opencl,62.01
