i,N,engine,time(s)
0,275,ref,0
1,2075,ref,0
2,5675,ref,0
3,11075,ref,.01
4,18275,ref,.03
5,27275,ref,.05
6,38075,ref,.08
7,50675,ref,.12
8,65075,ref,.18
9,81275,ref,.26
10,99275,ref,.40
11,119075,ref,.55
12,140675,ref,.79
13,164075,ref,1.07
14,189275,ref,1.41
15,216275,ref,1.81
16,245075,ref,2.25
17,275675,ref,2.80
18,308075,ref,3.40
19,342275,ref,4.07
20,378275,ref,4.87
21,416075,ref,5.75
22,455675,ref,6.77
23,497075,ref,7.89
24,540275,ref,9.08
25,585275,ref,10.47
26,632075,ref,11.95
27,680675,ref,13.58
28,731075,ref,15.23
29,783275,ref,17.17
30,837275,ref,19.14
31,893075,ref,21.21
32,950675,ref,23.46
33,1010075,ref,25.87
34,1071275,ref,28.44
35,1134275,ref,31.16
36,1199075,ref,34.05
37,1265675,ref,37.07
38,1334075,ref,40.27
39,1404275,ref,43.78
40,1476275,ref,47.60
41,1550075,ref,51.81
42,1625675,ref,55.98
43.85531914893617021276,1703075,ref,60.68
0,275,opt,.01
1,2075,opt,.01
2,5675,opt,.01
3,11075,opt,.01
4,18275,opt,.02
5,27275,opt,.04
6,38075,opt,.06
7,50675,opt,.09
8,65075,opt,.12
9,81275,opt,.17
10,99275,opt,.26
11,119075,opt,.34
12,140675,opt,.48
13,164075,opt,.64
14,189275,opt,.84
15,216275,opt,1.06
16,245075,opt,1.32
17,275675,opt,1.63
18,308075,opt,1.99
19,342275,opt,2.41
20,378275,opt,2.87
21,416075,opt,3.35
22,455675,opt,3.90
23,497075,opt,4.49
24,540275,opt,5.18
25,585275,opt,5.96
26,632075,opt,6.77
27,680675,opt,7.63
28,731075,opt,8.57
29,783275,opt,9.60
30,837275,opt,10.78
31,893075,opt,12.06
32,950675,opt,13.34
33,1010075,opt,14.69
34,1071275,opt,16.22
35,1134275,opt,17.82
36,1199075,opt,19.52
37,1265675,opt,21.34
38,1334075,opt,23.23
39,1404275,opt,25.24
40,1476275,opt,27.36
41,1550075,opt,29.54
42,1625675,opt,31.89
43,1703075,opt,34.38
44,1782275,opt,37.02
45,1863275,opt,39.70
46,1946075,opt,42.85
47,2030675,opt,45.93
48,2117075,opt,49.39
49,2205275,opt,52.71
50,2295275,opt,56.16
51,2387075,opt,59.78
52.05569620253164556962,2480675,opt,63.73
