i,N,engine,time(s)
0,35,ref,0
1,103,ref,0
2,183,ref,.02
3,271,ref,.10
4,364,ref,.30
5,461,ref,.71
6,562,ref,1.44
7,667,ref,2.68
8,774,ref,4.60
9,884,ref,7.45
10,996,ref,11.62
11,1110,ref,17.35
12,1227,ref,25.18
13,1345,ref,35.63
14,1465,ref,48.77
15.67691380349608197709,1587,ref,65.36
0,35,tbb,0
1,103,tbb,.02
2,183,tbb,.07
3,271,tbb,.21
4,364,tbb,.47
5,461,tbb,.92
6,562,tbb,1.66
7,667,tbb,2.76
8,774,tbb,4.35
9,884,tbb,6.57
10,996,tbb,9.58
11,1110,tbb,13.40
12,1227,tbb,18.10
13,1345,tbb,23.85
14,1465,tbb,30.69
15,1587,tbb,38.78
16,1711,tbb,48.32
17,1836,tbb,59.60
18.03018867924528301886,1962,tbb,72.85
0,35,opt,.21
1,103,opt,.46
2,183,opt,.71
3,271,opt,1.03
4,364,opt,1.42
5,461,opt,1.99
6,562,opt,2.78
7,667,opt,3.79
8,774,opt,5.07
9,884,opt,7.00
10,996,opt,9.43
11,1110,opt,12.72
12,1227,opt,16.87
13,1345,opt,22.09
14,1465,opt,28.77
15,1587,opt,37.04
16,1711,opt,47.34
17.66075156576200417536,1836,opt,66.50
