i,N,engine,time(s)
0,35,ref,0
1,103,ref,.01
2,183,ref,.04
3,271,ref,.14
4,364,ref,.35
5,461,ref,.74
6,562,ref,1.44
7,667,ref,2.63
8,774,ref,4.49
9,884,ref,7.28
10,996,ref,11.36
11,1110,ref,17.13
12,1227,ref,25.22
13,1345,ref,36.70
14,1465,ref,52.01
15.39930034982508745627,1587,ref,72.02
0,35,tbb,.01
1,103,tbb,.03
2,183,tbb,.12
3,271,tbb,.32
4,364,tbb,.68
5,461,tbb,1.28
6,562,tbb,2.25
7,667,tbb,3.76
8,774,tbb,6.10
9,884,tbb,9.58
10,996,tbb,14.60
11,1110,tbb,21.78
12,1227,tbb,31.05
13,1345,tbb,43.19
14,1465,tbb,58.49
15.07823834196891191709,1587,tbb,77.79
0,35,opt,0
1,103,opt,0
2,183,opt,.02
3,271,opt,.07
4,364,opt,.18
5,461,opt,.40
6,562,opt,.78
7,667,opt,1.40
8,774,opt,2.43
9,884,opt,4.16
10,996,opt,6.82
11,1110,opt,11.09
12,1227,opt,16.73
13,1345,opt,24.27
14,1465,opt,34.47
15,1587,opt,47.77
16.71941176470588235294,1711,opt,64.77
