i,N,engine,time(s)
0,35,ref,0
1,103,ref,0
2,183,ref,.03
3,271,ref,.11
4,364,ref,.31
5,461,ref,.72
6,562,ref,1.47
7,667,ref,2.79
8,774,ref,4.91
9,884,ref,8.63
10,996,ref,13.90
11,1110,ref,20.73
12,1227,ref,30.28
13,1345,ref,46.55
14.63986679352997145575,1465,ref,67.57
0,35,opt,.25
1,103,opt,.52
2,183,opt,.81
3,271,opt,1.17
4,364,opt,1.67
5,461,opt,2.50
6,562,opt,3.64
7,667,opt,5.64
8,774,opt,8.09
9,884,opt,11.60
10,996,opt,16.55
11,1110,opt,23.82
12,1227,opt,37.04
13,1345,opt,50.63
14.52997737556561085972,1465,opt,68.31
