i,N,engine,time(s)
0,35,ref,0
1,103,ref,.01
2,183,ref,.03
3,271,ref,.11
4,364,ref,.31
5,461,ref,.72
6,562,ref,1.72
7,667,ref,2.95
8,774,ref,5.96
9,884,ref,9.61
10,996,ref,13.98
11,1110,ref,19.96
12,1227,ref,29.62
13,1345,ref,42.23
14,1465,ref,57.91
15.10439560439560439560,1587,ref,77.93
0,35,opt,0
1,103,opt,.01
2,183,opt,.03
3,271,opt,.05
4,364,opt,.11
5,461,opt,.21
6,562,opt,.37
7,667,opt,.62
8,774,opt,.99
9,884,opt,1.54
10,996,opt,2.30
11,1110,opt,3.35
12,1227,opt,4.79
13,1345,opt,6.65
14,1465,opt,8.83
15,1587,opt,12.04
16,1711,opt,15.66
17,1836,opt,19.86
18,1962,opt,25.03
19,2090,opt,31.58
20,2219,opt,39.29
21,2350,opt,48.61
22,2482,opt,59.78
23.01681957186544342507,2614,opt,72.86
