i,N,engine,time(s)
0,35,ref,0
1,103,ref,.01
2,183,ref,.04
3,271,ref,.13
4,364,ref,.33
5,461,ref,.74
6,562,ref,1.49
7,667,ref,2.78
8,774,ref,4.88
9,884,ref,7.99
10,996,ref,12.68
11,1110,ref,19.14
12,1227,ref,28.21
13,1345,ref,40.66
14,1465,ref,59.17
15.02890978753047718564,1587,ref,87.88
0,35,tbb,.01
1,103,tbb,.04
2,183,tbb,.15
3,271,tbb,.41
4,364,tbb,.96
5,461,tbb,2.03
6,562,tbb,3.40
7,667,tbb,5.48
8,774,tbb,8.97
9,884,tbb,13.40
10,996,tbb,19.62
11,1110,tbb,28.01
12,1227,tbb,39.07
13,1345,tbb,53.44
14.36424208772903942254,1465,tbb,71.45
0,35,opt,.26
1,103,opt,.53
2,183,opt,.82
3,271,opt,1.19
4,364,opt,1.70
5,461,opt,2.46
6,562,opt,3.59
7,667,opt,5.28
8,774,opt,7.97
9,884,opt,12.12
10,996,opt,18.08
11,1110,opt,26.60
12,1227,opt,37.95
13,1345,opt,52.80
14.38318254390633315593,1465,opt,71.59
