i,N,engine,time(s)
0,25,ref,.03
1,45,ref,.11
2,65,ref,.30
3,85,ref,.66
4,105,ref,1.27
5,125,ref,2.22
6,145,ref,3.61
7,165,ref,5.57
8,185,ref,8.25
9,205,ref,11.79
10,225,ref,16.36
11,245,ref,22.14
12,265,ref,29.33
13,285,ref,38.14
14,305,ref,49.13
15.85188087774294670846,325,ref,61.89
0,25,opencl,.10
1,45,opencl,.20
2,65,opencl,.31
3,85,opencl,.42
4,105,opencl,.54
5,125,opencl,.68
6,145,opencl,.83
7,165,opencl,.99
8,185,opencl,1.15
9,205,opencl,1.35
10,225,opencl,1.57
11,245,opencl,1.73
12,265,opencl,1.95
13,285,opencl,2.21
14,305,opencl,2.51
15,325,opencl,2.76
16,345,opencl,3.06
17,365,opencl,3.43
18,385,opencl,3.83
19,405,opencl,4.33
20,425,opencl,4.73
21,445,opencl,5.21
22,465,opencl,5.69
23,485,opencl,6.21
24,505,opencl,6.69
25,525,opencl,7.23
26,545,opencl,7.80
27,565,opencl,8.41
28,585,opencl,9.12
29,605,opencl,9.83
30,625,opencl,10.59
31,645,opencl,11.32
32,665,opencl,12.12
33,685,opencl,12.93
34,705,opencl,13.71
35,725,opencl,14.52
36,745,opencl,15.32
37,765,opencl,16.06
38,785,opencl,17.11
39,805,opencl,18.19
40,825,opencl,19.01
41,845,opencl,20.09
42,865,opencl,21.19
43,880,opencl,22.30
44,900,opencl,23.38
45,920,opencl,24.53
46,940,opencl,25.85
47,960,opencl,27.08
48,980,opencl,28.44
49,1000,opencl,30.18
50,1020,opencl,31.61
51,1040,opencl,33.21
52,1060,opencl,34.75
53,1080,opencl,36.71
54,1100,opencl,38.35
55,1120,opencl,40.01
56,1140,opencl,41.63
57,1160,opencl,43.64
58,1180,opencl,45.31
59,1200,opencl,47.47
60,1220,opencl,49.99
61,1240,opencl,52.15
62,1260,opencl,54.25
63,1280,opencl,56.42
64,1300,opencl,58.65
65.65853658536585365853,1320,opencl,60.70
0,25,opt,.10
1,45,opt,.20
2,65,opt,.31
3,85,opt,.42
4,105,opt,.54
5,125,opt,.68
6,145,opt,.81
7,165,opt,.97
8,185,opt,1.13
9,205,opt,1.33
10,225,opt,1.54
11,245,opt,1.74
12,265,opt,1.97
13,285,opt,2.26
14,305,opt,2.53
15,325,opt,2.84
16,345,opt,3.19
17,365,opt,3.46
18,385,opt,3.86
19,405,opt,4.32
20,425,opt,4.69
21,445,opt,5.17
22,465,opt,5.65
23,485,opt,6.07
24,505,opt,6.46
25,525,opt,6.96
26,545,opt,7.50
27,565,opt,8.10
28,585,opt,8.77
29,605,opt,9.30
30,625,opt,10.11
31,645,opt,10.84
32,665,opt,11.63
33,685,opt,12.34
34,705,opt,13.28
35,725,opt,14.10
36,745,opt,15.01
37,765,opt,15.70
38,785,opt,16.76
39,805,opt,17.71
40,825,opt,18.58
41,845,opt,19.65
42,865,opt,20.79
43,880,opt,21.82
44,900,opt,23.12
45,920,opt,24.36
46,940,opt,25.83
47,960,opt,27.14
48,980,opt,28.38
49,1000,opt,30.12
50,1020,opt,31.41
51,1040,opt,33.01
52,1060,opt,34.53
53,1080,opt,36.49
54,1100,opt,38.10
55,1120,opt,39.76
56,1140,opt,41.68
57,1160,opt,43.59
58,1180,opt,45.33
59,1200,opt,47.52
60,1220,opt,49.97
61,1240,opt,52.09
62,1260,opt,54.03
63,1280,opt,56.20
64,1300,opt,58.38
65.76777251184834123222,1320,opt,60.49
