i,N,engine,time(s)
0,35,ref,0
1,103,ref,.01
2,183,ref,.03
3,271,ref,.11
4,364,ref,.31
5,461,ref,.79
6,562,ref,1.86
7,667,ref,3.10
8,774,ref,6.18
9,884,ref,9.03
10,996,ref,14.64
11,1110,ref,21.71
12,1227,ref,31.53
13,1345,ref,44.36
14.88762769580022701475,1465,ref,61.98
0,35,tbb,.01
1,103,tbb,.03
2,183,tbb,.09
3,271,tbb,.22
4,364,tbb,.48
5,461,tbb,.92
6,562,tbb,1.67
7,667,tbb,2.78
8,774,tbb,4.36
9,884,tbb,6.69
10,996,tbb,9.69
11,1110,tbb,13.79
12,1227,tbb,18.48
13,1345,tbb,24.42
14,1465,tbb,31.67
15,1587,tbb,40.23
16,1711,tbb,50.26
17.82402707275803722504,1836,tbb,62.08
0,35,opt,0
1,103,opt,0
2,183,opt,.01
3,271,opt,.04
4,364,opt,.10
5,461,opt,.19
6,562,opt,.35
7,667,opt,.59
8,774,opt,.96
9,884,opt,1.51
10,996,opt,2.29
11,1110,opt,3.31
12,1227,opt,4.73
13,1345,opt,6.58
14,1465,opt,8.73
15,1587,opt,11.74
16,1711,opt,15.09
17,1836,opt,19.92
18,1962,opt,25.34
19,2090,opt,31.65
20,2219,opt,39.64
21,2350,opt,49.18
22.97830018083182640144,2482,opt,60.24
