i,N,engine,time(s)
0,35,ref,0
1,103,ref,.01
2,183,ref,.04
3,271,ref,.13
4,364,ref,.33
5,461,ref,.74
6,562,ref,1.48
7,667,ref,2.72
8,774,ref,4.64
9,884,ref,7.49
10,996,ref,11.65
11,1110,ref,17.42
12,1227,ref,25.23
13,1345,ref,35.86
14,1465,ref,49.06
15.65705705705705705705,1587,ref,65.71
0,35,tbb,0
1,103,tbb,.02
2,183,tbb,.08
3,271,tbb,.21
4,364,tbb,.47
5,461,tbb,.91
6,562,tbb,1.64
7,667,tbb,2.76
8,774,tbb,4.33
9,884,tbb,6.53
10,996,tbb,9.52
11,1110,tbb,13.34
12,1227,tbb,18.06
13,1345,tbb,23.77
14,1465,tbb,30.68
15,1587,tbb,38.78
16,1711,tbb,48.38
17,1836,tbb,59.73
18.02048558421851289833,1962,tbb,72.91
0,35,opt,.20
1,103,opt,.42
2,183,opt,.67
3,271,opt,1.03
4,364,opt,1.41
5,461,opt,1.98
6,562,opt,2.73
7,667,opt,3.70
8,774,opt,5.17
9,884,opt,7.01
10,996,opt,9.45
11,1110,opt,12.69
12,1227,opt,17.09
13,1345,opt,22.56
14,1465,opt,29.39
15,1587,opt,37.84
16,1711,opt,47.85
17.63149688149688149688,1836,opt,67.09
