i,N,engine,time(s)
0,25,ref,.02
1,45,ref,.11
2,65,ref,.30
3,85,ref,.67
4,105,ref,1.28
5,125,ref,2.23
6,145,ref,3.64
7,165,ref,5.62
8,185,ref,8.32
9,205,ref,11.88
10,225,ref,16.48
11,245,ref,22.29
12,265,ref,29.53
13,285,ref,38.40
14,305,ref,49.12
15.84867394695787831513,325,ref,61.94
0,25,opencl,.10
1,45,opencl,.20
2,65,opencl,.30
3,85,opencl,.40
4,105,opencl,.52
5,125,opencl,.66
6,145,opencl,.79
7,165,opencl,.93
8,185,opencl,1.10
9,205,opencl,1.26
10,225,opencl,1.44
11,245,opencl,1.68
12,265,opencl,1.88
13,285,opencl,2.10
14,305,opencl,2.32
15,325,opencl,2.53
16,345,opencl,2.77
17,365,opencl,3.06
18,385,opencl,3.35
19,405,opencl,3.85
20,425,opencl,4.33
21,445,opencl,4.63
22,465,opencl,5.16
23,485,opencl,5.50
24,505,opencl,6.08
25,525,opencl,6.66
26,545,opencl,7.44
27,565,opencl,7.89
28,585,opencl,8.50
29,605,opencl,9.03
30,625,opencl,9.64
31,645,opencl,10.44
32,665,opencl,11.12
33,685,opencl,11.77
34,705,opencl,12.50
35,725,opencl,13.11
36,745,opencl,13.96
37,765,opencl,14.62
38,785,opencl,15.46
39,805,opencl,16.48
40,825,opencl,17.54
41,845,opencl,18.42
42,865,opencl,19.63
43,880,opencl,20.67
44,900,opencl,21.82
45,920,opencl,22.76
46,940,opencl,24.01
47,960,opencl,25.13
48,980,opencl,26.33
49,1000,opencl,27.91
50,1020,opencl,29.06
51,1040,opencl,30.60
52,1060,opencl,32.12
53,1080,opencl,34.01
54,1100,opencl,35.53
55,1120,opencl,36.98
56,1140,opencl,38.75
57,1160,opencl,40.57
58,1180,opencl,42.25
59,1200,opencl,44.35
60,1220,opencl,46.64
61,1240,opencl,48.58
62,1260,opencl,50.47
63,1280,opencl,52.45
64,1300,opencl,54.54
65,1320,opencl,56.73
66,1340,opencl,59.18
67.30711610486891385767,1360,opencl,61.85
0,25,opt,.10
1,45,opt,.20
2,65,opt,.31
3,85,opt,.41
4,105,opt,.54
5,125,opt,.66
6,145,opt,.79
7,165,opt,.93
8,185,opt,1.07
9,205,opt,1.24
10,225,opt,1.41
11,245,opt,1.65
12,265,opt,1.85
13,285,opt,2.07
14,305,opt,2.31
15,325,opt,2.53
16,345,opt,2.77
17,365,opt,3.17
18,385,opt,3.55
19,405,opt,3.91
20,425,opt,4.25
21,445,opt,4.55
22,465,opt,4.93
23,485,opt,5.28
24,505,opt,5.69
25,525,opt,6.15
26,545,opt,6.78
27,565,opt,7.27
28,585,opt,7.88
29,605,opt,8.39
30,625,opt,9.00
31,645,opt,9.87
32,665,opt,10.53
33,685,opt,11.19
34,705,opt,12.20
35,725,opt,12.81
36,745,opt,13.66
37,765,opt,14.33
38,785,opt,15.17
39,805,opt,16.00
40,825,opt,16.80
41,845,opt,17.89
42,865,opt,18.84
43,880,opt,20.17
44,900,opt,21.26
45,920,opt,22.22
46,940,opt,23.47
47,960,opt,24.64
48,980,opt,25.89
49,1000,opt,27.50
50,1020,opt,28.67
51,1040,opt,30.08
52,1060,opt,31.47
53,1080,opt,33.22
54,1100,opt,34.87
55,1120,opt,36.33
56,1140,opt,37.95
57,1160,opt,39.77
58,1180,opt,41.37
59,1200,opt,43.69
60,1220,opt,46.00
61,1240,opt,47.97
62,1260,opt,49.86
63,1280,opt,51.86
64,1300,opt,53.96
65,1320,opt,55.87
66,1340,opt,58.33
67.62313432835820895522,1360,opt,61.01
