i,N,engine,time(s)
0,35,ref,0
1,103,ref,0
2,183,ref,.03
3,271,ref,.11
4,364,ref,.36
5,461,ref,.78
6,562,ref,1.50
7,667,ref,2.70
8,774,ref,4.57
9,884,ref,7.39
10,996,ref,11.59
11,1110,ref,17.46
12,1227,ref,25.56
13,1345,ref,37.22
14,1465,ref,52.66
15.37033299697275479313,1587,ref,72.48
0,35,tbb,0
1,103,tbb,.01
2,183,tbb,.10
3,271,tbb,.32
4,364,tbb,.71
5,461,tbb,1.37
6,562,tbb,2.40
7,667,tbb,3.94
8,774,tbb,6.33
9,884,tbb,9.71
10,996,tbb,14.40
11,1110,tbb,20.85
12,1227,tbb,29.24
13,1345,tbb,40.18
14,1465,tbb,53.76
15.36879432624113475177,1587,tbb,70.68
0,35,opencl,.56
1,103,opencl,1.07
2,183,opencl,1.60
3,271,opencl,2.20
4,364,opencl,2.90
5,461,opencl,3.78
6,562,opencl,4.94
7,667,opencl,6.49
8,774,opencl,8.76
9,884,opencl,12.11
10,996,opencl,17.09
11,1110,opencl,23.74
12,1227,opencl,32.74
13,1345,opencl,44.37
14,1465,opencl,59.67
15.01723237597911227154,1587,opencl,78.82
